"","home.team","home.ctry","away.team","away.ctry","match","tournament","round","V8"
"1","Sevilla","Esp","Benfica","Por","3-1","CHAMPIONS CUP","Qualifying Round",1958
"2","Sevilla","Esp","Benfica","Por","0-0","CHAMPIONS CUP","Qualifying Round",1958
"3","AGF Aarhus","Den","Glenavon","Nir","0-0","CHAMPIONS CUP","Qualifying Round",1958
"4","AGF Aarhus","Den","Glenavon","Nir","3-0","CHAMPIONS CUP","Qualifying Round",1958
"5","CDNA Sofia","Bul","Vasas Budapest","Hun","2-1","CHAMPIONS CUP","Qualifying Round",1958
"6","CDNA Sofia","Bul","Vasas Budapest","Hun","1-6","CHAMPIONS CUP","Qualifying Round",1958
"7","Gwardia Warsaw","Pol","Wismut Karl-Marx-Stadt","GDR","3-1","CHAMPIONS CUP","Qualifying Round",1958
"8","Gwardia Warsaw","Pol","Wismut Karl-Marx-Stadt","GDR","1-3","CHAMPIONS CUP","Qualifying Round",1958
"9","Shamrock Rovers","Irl","Manchester United","Eng","0-6","CHAMPIONS CUP","Qualifying Round",1958
"10","Shamrock Rovers","Irl","Manchester United","Eng","2-3","CHAMPIONS CUP","Qualifying Round",1958
"11","Stade Dudelange","Lux","Red Star Belgrade","YUG","0-5","CHAMPIONS CUP","Qualifying Round",1958
"12","Stade Dudelange","Lux","Red Star Belgrade","YUG","1-9","CHAMPIONS CUP","Qualifying Round",1958
"13","Glasgow Rangers","Sco","AS Saint-�tienne","Fra","3-1","CHAMPIONS CUP","Qualifying Round",1958
"14","Glasgow Rangers","Sco","AS Saint-�tienne","Fra","1-2","CHAMPIONS CUP","Qualifying Round",1958
"15","AC Milan","Ita","Rapid Wien","Aut","4-1","CHAMPIONS CUP","Qualifying Round",1958
"16","AC Milan","Ita","Rapid Wien","Aut","2-5","CHAMPIONS CUP","Qualifying Round",1958
"17","Royal Antwerp","Bel","Real Madrid","Esp","1-2","CHAMPIONS CUP","Round 1",1958
"18","Royal Antwerp","Bel","Real Madrid","Esp","0-6","CHAMPIONS CUP","Round 1",1958
"19","Sevilla","Esp","AGF Aarhus","Den","4-0","CHAMPIONS CUP","Round 1",1958
"20","Sevilla","Esp","AGF Aarhus","Den","0-2","CHAMPIONS CUP","Round 1",1958
"21","Wismut Karl-Marx-Stadt","GDR","Ajax","Ned","1-3","CHAMPIONS CUP","Round 1",1958
"22","Wismut Karl-Marx-Stadt","GDR","Ajax","Ned","0-1","CHAMPIONS CUP","Round 1",1958
"23","Young Boys","Sui","Vasas Budapest","Hun","1-1","CHAMPIONS CUP","Round 1",1958
"24","Young Boys","Sui","Vasas Budapest","Hun","1-2","CHAMPIONS CUP","Round 1",1958
"25","Manchester United","Eng","Dukla Praha","TCH","3-0","CHAMPIONS CUP","Round 1",1958
"26","Manchester United","Eng","Dukla Praha","TCH","0-1","CHAMPIONS CUP","Round 1",1958
"27","IFK Norrköping","Swe","Red Star Belgrade","YUG","2-2","CHAMPIONS CUP","Round 1",1958
"28","IFK Norrköping","Swe","Red Star Belgrade","YUG","1-2","CHAMPIONS CUP","Round 1",1958
"29","Borussia Dortmund","Ger","CCA Bucuresti","Rom","4-2","CHAMPIONS CUP","Round 1",1958
"30","Borussia Dortmund","Ger","CCA Bucuresti","Rom","1-3","CHAMPIONS CUP","Round 1",1958
"31","Glasgow Rangers","Sco","AC Milan","Ita","1-4","CHAMPIONS CUP","Round 1",1958
"32","Glasgow Rangers","Sco","AC Milan","Ita","0-2","CHAMPIONS CUP","Round 1",1958
"33","Real Madrid","Esp","Sevilla","Esp","8-0","CHAMPIONS CUP","Quarter Finals",1958
"34","Real Madrid","Esp","Sevilla","Esp","2-2","CHAMPIONS CUP","Quarter Finals",1958
"35","Ajax","Ned","Vasas Budapest","Hun","2-2","CHAMPIONS CUP","Quarter Finals",1958
"36","Ajax","Ned","Vasas Budapest","Hun","0-4","CHAMPIONS CUP","Quarter Finals",1958
"37","Manchester United","Eng","Red Star Belgrade","YUG","2-1","CHAMPIONS CUP","Quarter Finals",1958
"38","Manchester United","Eng","Red Star Belgrade","YUG","3-3","CHAMPIONS CUP","Quarter Finals",1958
"39","Borussia Dortmund","Ger","AC Milan","Ita","1-1","CHAMPIONS CUP","Quarter Finals",1958
