"home.team" "home.ctry" "away.team" "away.ctry" "match" "tournament" "round"
"1" "Juventus" "Ita" "Wiener Sportklub" "Aut" "3-1" "CHAMPIONS CUP" "Qualifying Round"
"2" "Juventus" "Ita" "Wiener Sportklub" "Aut" "0-7" "CHAMPIONS CUP" "Qualifying Round"
"3" "Dinamo Zagreb" "YUG" "Dukla Praha" "TCH" "2-2" "CHAMPIONS CUP" "Qualifying Round"
"4" "Dinamo Zagreb" "YUG" "Dukla Praha" "TCH" "1-2" "CHAMPIONS CUP" "Qualifying Round"
"5" "KB K�benhavn" "Den" "Schalke 04" "Ger" "3-0" "CHAMPIONS CUP" "Qualifying Round"
"6" "KB K�benhavn" "Den" "Schalke 04" "Ger" "2-5" "CHAMPIONS CUP" "Qualifying Round"
"7" "Atlético Madrid" "Esp" "Drumcondra FC" "Irl" "8-0" "CHAMPIONS CUP" "Qualifying Round"
"8" "Atlético Madrid" "Esp" "Drumcondra FC" "Irl" "5-1" "CHAMPIONS CUP" "Qualifying Round"
"9" "Wismut Karl-Marx-Stadt" "GDR" "Petrolul Ploiesti" "Rom" "4-2" "CHAMPIONS CUP" "Qualifying Round"
"10" "Wismut Karl-Marx-Stadt" "GDR" "Petrolul Ploiesti" "Rom" "0-2" "CHAMPIONS CUP" "Qualifying Round"
"11" "Jeunesse d'Esch" "Lux" "IFK Göteborg" "Swe" "1-2" "CHAMPIONS CUP" "Qualifying Round"
"12" "Jeunesse d'Esch" "Lux" "IFK Göteborg" "Swe" "1-0" "CHAMPIONS CUP" "Qualifying Round"
"13" "Polonia Bytom" "Pol" "MTK Budapest" "Hun" "0-3" "CHAMPIONS CUP" "Qualifying Round"
"14" "Polonia Bytom" "Pol" "MTK Budapest" "Hun" "0-3" "CHAMPIONS CUP" "Qualifying Round"
"15" "DOS Utrecht" "Ned" "Sporting CP Lisbon" "Por" "3-4" "CHAMPIONS CUP" "Qualifying Round"
"16" "DOS Utrecht" "Ned" "Sporting CP Lisbon" "Por" "1-2" "CHAMPIONS CUP" "Qualifying Round"
"17" "Standard Liège" "Bel" "Hearts FC" "Sco" "5-1" "CHAMPIONS CUP" "Qualifying Round"
"18" "Standard Liège" "Bel" "Hearts FC" "Sco" "1-2" "CHAMPIONS CUP" "Qualifying Round"
"19" "Ards FC" "Nir" "Stade de Reims" "Fra" "1-4" "CHAMPIONS CUP" "Qualifying Round"
"20" "Ards FC" "Nir" "Stade de Reims" "Fra" "2-6" "CHAMPIONS CUP" "Qualifying Round"
"21" "Real Madrid" "Esp" "Besiktas" "Tur" "2-0" "CHAMPIONS CUP" "Round 1"
"22" "Real Madrid" "Esp" "Besiktas" "Tur" "1-1" "CHAMPIONS CUP" "Round 1"
