"home.team" "home.ctry" "away.team" "away.ctry" "match" "tournament" "round" ""
"1" "Feyenoord" "Ned" "Real Madrid" "Esp" "2-1" "CHAMPIONS CUP" "Round 1" "1966"
"2" "Feyenoord" "Ned" "Real Madrid" "Esp" "0-5" "CHAMPIONS CUP" "Round 1" "1966"
"3" "17 N<eb>ntori Tirana" "Alb" "Kilmarnock" "Sco" "0-0" "CHAMPIONS CUP" "Round 1" "1966"
"4" "17 N<eb>ntori Tirana" "Alb" "Kilmarnock" "Sco" "0-1" "CHAMPIONS CUP" "Round 1" "1966"
"5" "Fenerbahçe" "Tur" "Anderlecht" "Bel" "0-0" "CHAMPIONS CUP" "Round 1" "1966"
"6" "Fenerbahçe" "Tur" "Anderlecht" "Bel" "1-5" "CHAMPIONS CUP" "Round 1" "1966"
"7" "Lyn Oslo" "Nor" "Derry City" "Nir" "5-3" "CHAMPIONS CUP" "Round 1" "1966"
"8" "Lyn Oslo" "Nor" "Derry City" "Nir" "1-5" "CHAMPIONS CUP" "Round 1" "1966"
"9" "Panathinaikos" "Gre" "Sliema Wanderers" "Mlt" "4-1" "CHAMPIONS CUP" "Round 1" "1966"
"10" "Panathinaikos" "Gre" "Sliema Wanderers" "Mlt" "0-1" "CHAMPIONS CUP" "Round 1" "1966"
"11" "Keflavik" "Isl" "Ferencváros" "Hun" "1-4" "CHAMPIONS CUP" "Round 1" "1966"
"12" "Keflavik" "Isl" "Ferencváros" "Hun" "1-9" "CHAMPIONS CUP" "Round 1" "1966"
"13" "Dinamo Bucuresti" "Rom" "B1909 Odense" "Den" "4-0" "CHAMPIONS CUP" "Round 1" "1966"
"14" "Dinamo Bucuresti" "Rom" "B1909 Odense" "Den" "3-2" "CHAMPIONS CUP" "Round 1" "1966"
"15" "HJK Helsinki" "Fin" "Manchester United" "Eng" "2-3" "CHAMPIONS CUP" "Round 1" "1966"
"16" "HJK Helsinki" "Fin" "Manchester United" "Eng" "0-6" "CHAMPIONS CUP" "Round 1" "1966"
"17" "Drumcondra FC" "Irl" "Vorwärts Berlin" "GDR" "1-0" "CHAMPIONS CUP" "Round 1" "1966"
"18" "Drumcondra FC" "Irl" "Vorwärts Berlin" "GDR" "0-3" "CHAMPIONS CUP" "Round 1" "1966"
"19" "Stade Dudelange" "Lux" "Benfica" "Por" "0-8" "CHAMPIONS CUP" "Round 1" "1966"
"20" "Stade Dudelange" "Lux" "Benfica" "Por" "0-10" "CHAMPIONS CUP" "Round 1" "1966"
"21" "Djurgårdens IF" "Swe" "Levski Sofia" "Bul" "2-1" "CHAMPIONS CUP" "Round 1" "1966"
"22" "Djurgårdens IF" "Swe" "Levski Sofia" "Bul" "0-6" "CHAMPIONS CUP" "Round 1" "1966"
"23" "Lausanne Sports" "Sui" "Sparta Praha" "TCH" "0-0" "CHAMPIONS CUP" "Round 1" "1966"
"24" "Lausanne Sports" "Sui" "Sparta Praha" "TCH" "0-4" "CHAMPIONS CUP" "Round 1" "1966"
"25" "LASK Linz" "Aut" "Górnik Zabrze" "Pol" "1-3" "CHAMPIONS CUP" "Round 1" "1966"
"26" "LASK Linz" "Aut" "Górnik Zabrze" "Pol" "1-2" "CHAMPIONS CUP" "Round 1" "1966"
"27" "APOEL Nicosia" "Cyp" "Werder Bremen" "Ger" "0-5" "CHAMPIONS CUP" "Round 1" "1966"
"28" "APOEL Nicosia" "Cyp" "Werder Bremen" "Ger" "0-5" "CHAMPIONS CUP" "Round 1" "1966"
"29" "Partizan Belgrade" "YUG" "FC Nantes" "Fra" "2-0" "CHAMPIONS CUP" "Round 1" "1966"
"30" "Partizan Belgrade" "YUG" "FC Nantes" "Fra" "2-2" "CHAMPIONS CUP" "Round 1" "1966"
"31" "Kilmarnock" "Sco" "Real Madrid" "Esp" "2-2" "CHAMPIONS CUP" "Round 2" "1966"
"32" "Kilmarnock" "Sco" "Real Madrid" "Esp" "1-5" "CHAMPIONS CUP" "Round 2" "1966"
"33" "Anderlecht" "Bel" "Derry City" "Nir" "9-0" "CHAMPIONS CUP" "Round 2" "1966"
"34" "Ferencváros" "Hun" "Panathinaikos" "Gre" "0-0" "CHAMPIONS CUP" "Round 2" "1966"
"35" "Ferencváros" "Hun" "Panathinaikos" "Gre" "3-1" "CHAMPIONS CUP" "Round 2" "1966"
"36" "Dinamo Bucuresti" "Rom" "Internazionale" "Ita" "2-1" "CHAMPIONS CUP" "Round 2" "1966"
"37" "Dinamo Bucuresti" "Rom" "Internazionale" "Ita" "0-2" "CHAMPIONS CUP" "Round 2" "1966"
"38" "Vorwärts Berlin" "GDR" "Manchester United" "Eng" "0-2" "CHAMPIONS CUP" "Round 2" "1966"
"39" "Vorwärts Berlin" "GDR" "Manchester United" "Eng" "1-3" "CHAMPIONS CUP" "Round 2" "1966"
"40" "Levski Sofia" "Bul" "Benfica" "Por" "2-2" "CHAMPIONS CUP" "Round 2" "1966"
"41" "Levski Sofia" "Bul" "Benfica" "Por" "2-3" "CHAMPIONS CUP" "Round 2" "1966"
"42" "Sparta Praha" "TCH" "Górnik Zabrze" "Pol" "3-0" "CHAMPIONS CUP" "Round 2" "1966"
"43" "Sparta Praha" "TCH" "Górnik Zabrze" "Pol" "2-1" "CHAMPIONS CUP" "Round 2" "1966"
"44" "Partizan Belgrade" "YUG" "Werder Bremen" "Ger" "3-0" "CHAMPIONS CUP" "Round 2" "1966"
"45" "Partizan Belgrade" "YUG" "Werder Bremen" "Ger" "0-1" "CHAMPIONS CUP" "Round 2" "1966"
"46" "Anderlecht" "Bel" "Real Madrid" "Esp" "1-0" "CHAMPIONS CUP" "Quarter Finals" "1966"
"47" "Anderlecht" "Bel" "Real Madrid" "Esp" "2-4" "CHAMPIONS CUP" "Quarter Finals" "1966"
"48" "Internazionale" "Ita" "Ferencváros" "Hun" "4-0" "CHAMPIONS CUP" "Quarter Finals" "1966"
"49" "Internazionale" "Ita" "Ferencváros" "Hun" "1-1" "CHAMPIONS CUP" "Quarter Finals" "1966"
"50" "Manchester United" "Eng" "Benfica" "Por" "3-2" "CHAMPIONS CUP" "Quarter Finals" "1966"
"51" "Manchester United" "Eng" "Benfica" "Por" "5-1" "CHAMPIONS CUP" "Quarter Finals" "1966"
"52" "Sparta Praha" "TCH" "Partizan Belgrade" "YUG" "4-1" "CHAMPIONS CUP" "Quarter Finals" "1966"
"53" "Sparta Praha" "TCH" "Partizan Belgrade" "YUG" "0-5" "CHAMPIONS CUP" "Quarter Finals" "1966"
"54" "Real Madrid" "Esp" "Internazionale" "Ita" "1-0" "CHAMPIONS CUP" "Semi Finals" "1966"
"55" "Real Madrid" "Esp" "Internazionale" "Ita" "1-1" "CHAMPIONS CUP" "Semi Finals" "1966"
"56" "Partizan Belgrade" "YUG" "Manchester United" "Eng" "2-0" "CHAMPIONS CUP" "Semi Finals" "1966"
"57" "Partizan Belgrade" "YUG" "Manchester United" "Eng" "0-1" "CHAMPIONS CUP" "Semi Finals" "1966"
"58" "Real Madrid" "Esp" "Partizan Belgrade" "YUG" "2-1" "CHAMPIONS CUP" "Final" "1966"
"59" "Floriana" "Mlt" "Borussia Dortmund" "Ger" "1-5" "CUP WINNERS CUP" "Round 1" "1966"
"60" "Floriana" "Mlt" "Borussia Dortmund" "Ger" "0-8" "CUP WINNERS CUP" "Round 1" "1966"
"61" "Limerick" "Irl" "CSKA Sofia" "Bul" "1-2" "CUP WINNERS CUP" "Round 1" "1966"
"62" "Limerick" "Irl" "CSKA Sofia" "Bul" "0-2" "CUP WINNERS CUP" "Round 1" "1966"
"63" "Wiener Neustadt" "Aut" "Stiinta Cluj" "Rom" "0-1" "CUP WINNERS CUP" "Round 1" "1966"
"64" "Wiener Neustadt" "Aut" "Stiinta Cluj" "Rom" "0-2" "CUP WINNERS CUP" "Round 1" "1966"
"65" "Atlético Madrid" "Esp" "Dinamo Zagreb" "YUG" "4-0" "CUP WINNERS CUP" "Round 1" "1966"
"66" "Atlético Madrid" "Esp" "Dinamo Zagreb" "YUG" "1-0" "CUP WINNERS CUP" "Round 1" "1966"
"67" "FC Sion" "Sui" "Galatasaray" "Tur" "5-1" "CUP WINNERS CUP" "Round 1" "1966"
"68" "FC Sion" "Sui" "Galatasaray" "Tur" "1-2" "CUP WINNERS CUP" "Round 1" "1966"
"69" "1.FC Magdeburg" "GDR" "CA Spora Luxembourg" "Lux" "1-0" "CUP WINNERS CUP" "Round 1" "1966"
"70" "1.FC Magdeburg" "GDR" "CA Spora Luxembourg" "Lux" "2-0" "CUP WINNERS CUP" "Round 1" "1966"
"71" "Omonia Nicosia" "Cyp" "Olympiakos Piraeus" "Gre" "0-1" "CUP WINNERS CUP" "Round 1" "1966"
"72" "Omonia Nicosia" "Cyp" "Olympiakos Piraeus" "Gre" "1-1" "CUP WINNERS CUP" "Round 1" "1966"
"73" "Go Ahead Deventer" "Ned" "Celtic" "Sco" "0-6" "CUP WINNERS CUP" "Round 1" "1966"
"74" "Go Ahead Deventer" "Ned" "Celtic" "Sco" "0-1" "CUP WINNERS CUP" "Round 1" "1966"
"75" "AGF Aarhus" "Den" "Vitória Setúbal" "Por" "2-1" "CUP WINNERS CUP" "Round 1" "1966"
"76" "AGF Aarhus" "Den" "Vitória Setúbal" "Por" "2-1" "CUP WINNERS CUP" "Round 1" "1966"
"77" "KR Reykjavik" "Isl" "Rosenborg BK" "Nor" "1-3" "CUP WINNERS CUP" "Round 1" "1966"
"78" "KR Reykjavik" "Isl" "Rosenborg BK" "Nor" "1-3" "CUP WINNERS CUP" "Round 1" "1966"
"79" "Coleraine" "Nir" "Dinamo Kiev" "URS" "1-6" "CUP WINNERS CUP" "Round 1" "1966"
"80" "Coleraine" "Nir" "Dinamo Kiev" "URS" "0-4" "CUP WINNERS CUP" "Round 1" "1966"
"81" "Reipas Lahti" "Fin" "Honvéd Budapest" "Hun" "2-10" "CUP WINNERS CUP" "Round 1" "1966"
"82" "Reipas Lahti" "Fin" "Honvéd Budapest" "Hun" "0-6" "CUP WINNERS CUP" "Round 1" "1966"
"83" "Dukla Praha" "TCH" "Stade Rennais" "Fra" "2-0" "CUP WINNERS CUP" "Round 1" "1966"
"84" "Dukla Praha" "TCH" "Stade Rennais" "Fra" "0-0" "CUP WINNERS CUP" "Round 1" "1966"
"85" "Cardiff City" "Wal" "Standard Liège" "Bel" "1-2" "CUP WINNERS CUP" "Round 1" "1966"
"86" "Cardiff City" "Wal" "Standard Liège" "Bel" "0-1" "CUP WINNERS CUP" "Round 1" "1966"
"87" "Juventus" "Ita" "Liverpool" "Eng" "1-0" "CUP WINNERS CUP" "Round 1" "1966"
"88" "Juventus" "Ita" "Liverpool" "Eng" "0-2" "CUP WINNERS CUP" "Round 1" "1966"
"89" "Borussia Dortmund" "Ger" "CSKA Sofia" "Bul" "3-0" "CUP WINNERS CUP" "Round 2" "1966"
"90" "Borussia Dortmund" "Ger" "CSKA Sofia" "Bul" "2-4" "CUP WINNERS CUP" "Round 2" "1966"
"91" "Stiinta Cluj" "Rom" "Atlético Madrid" "Esp" "0-2" "CUP WINNERS CUP" "Round 2" "1966"
"92" "Stiinta Cluj" "Rom" "Atlético Madrid" "Esp" "0-4" "CUP WINNERS CUP" "Round 2" "1966"
"93" "1.FC Magdeburg" "GDR" "FC Sion" "Sui" "8-1" "CUP WINNERS CUP" "Round 2" "1966"
"94" "1.FC Magdeburg" "GDR" "FC Sion" "Sui" "2-2" "CUP WINNERS CUP" "Round 2" "1966"
"95" "West Ham United" "Eng" "Olympiakos Piraeus" "Gre" "4-0" "CUP WINNERS CUP" "Round 2" "1966"
"96" "West Ham United" "Eng" "Olympiakos Piraeus" "Gre" "2-2" "CUP WINNERS CUP" "Round 2" "1966"
"97" "AGF Aarhus" "Den" "Celtic" "Sco" "0-1" "CUP WINNERS CUP" "Round 2" "1966"
"98" "AGF Aarhus" "Den" "Celtic" "Sco" "0-2" "CUP WINNERS CUP" "Round 2" "1966"
"99" "Rosenborg BK" "Nor" "Dinamo Kiev" "URS" "1-4" "CUP WINNERS CUP" "Round 2" "1966"
"100" "Rosenborg BK" "Nor" "Dinamo Kiev" "URS" "0-2" "CUP WINNERS CUP" "Round 2" "1966"
"101" "Dukla Praha" "TCH" "Honvéd Budapest" "Hun" "2-3" "CUP WINNERS CUP" "Round 2" "1966"
"102" "Dukla Praha" "TCH" "Honvéd Budapest" "Hun" "2-1" "CUP WINNERS CUP" "Round 2" "1966"
"103" "Liverpool" "Eng" "Standard Liège" "Bel" "3-1" "CUP WINNERS CUP" "Round 2" "1966"
"104" "Liverpool" "Eng" "Standard Liège" "Bel" "2-1" "CUP WINNERS CUP" "Round 2" "1966"
"105" "Atlético Madrid" "Esp" "Borussia Dortmund" "Ger" "1-1" "CUP WINNERS CUP" "Quarter Finals" "1966"
"106" "Atlético Madrid" "Esp" "Borussia Dortmund" "Ger" "0-1" "CUP WINNERS CUP" "Quarter Finals" "1966"
"107" "West Ham United" "Eng" "1.FC Magdeburg" "GDR" "1-0" "CUP WINNERS CUP" "Quarter Finals" "1966"
"108" "West Ham United" "Eng" "1.FC Magdeburg" "GDR" "1-1" "CUP WINNERS CUP" "Quarter Finals" "1966"
"109" "Celtic" "Sco" "Dinamo Kiev" "URS" "3-0" "CUP WINNERS CUP" "Quarter Finals" "1966"
"110" "Celtic" "Sco" "Dinamo Kiev" "URS" "1-1" "CUP WINNERS CUP" "Quarter Finals" "1966"
"111" "Honvéd Budapest" "Hun" "Liverpool" "Eng" "0-0" "CUP WINNERS CUP" "Quarter Finals" "1966"
"112" "Honvéd Budapest" "Hun" "Liverpool" "Eng" "0-2" "CUP WINNERS CUP" "Quarter Finals" "1966"
"113" "West Ham United" "Eng" "Borussia Dortmund" "Ger" "1-2" "CUP WINNERS CUP" "Semi Finals" "1966"
"114" "West Ham United" "Eng" "Borussia Dortmund" "Ger" "1-3" "CUP WINNERS CUP" "Semi Finals" "1966"
"115" "Celtic" "Sco" "Liverpool" "Eng" "1-0" "CUP WINNERS CUP" "Semi Finals" "1966"
"116" "Celtic" "Sco" "Liverpool" "Eng" "0-2" "CUP WINNERS CUP" "Semi Finals" "1966"
"117" "Borussia Dortmund" "Ger" "Liverpool" "Eng" "2-1" "CUP WINNERS CUP" "Final" "1966"
"118" "DOS Utrecht" "Ned" "FC Barcelona" "Esp" "0-0" "INTER-CITIES FAIRS CUP" "Round 1" "1966"
"119" "DOS Utrecht" "Ned" "FC Barcelona" "Esp" "1-7" "INTER-CITIES FAIRS CUP" "Round 1" "1966"
"120" "Royal Antwerp" "Bel" "Glentoran" "Nir" "1-0" "INTER-CITIES FAIRS CUP" "Round 1" "1966"
