"","home.team","home.ctry","away.team","away.ctry","match","tournament","round",""
"1","Manchester United","Eng","Hibernians FC","Mlt","4-0","CHAMPIONS CUP","Round 1","1968"
"2","Manchester United","Eng","Hibernians FC","Mlt","0-0","CHAMPIONS CUP","Round 1","1968"
"3","Olympiakos Nicosia","Cyp","FK Sarajevo","YUG","2-2","CHAMPIONS CUP","Round 1","1968"
"4","Olympiakos Nicosia","Cyp","FK Sarajevo","YUG","1-3","CHAMPIONS CUP","Round 1","1968"
"5","G<f3>rnik Zabrze","Pol","Djurgårdens IF","Swe","3-0","CHAMPIONS CUP","Round 1","1968"
"6","G<f3>rnik Zabrze","Pol","Djurgårdens IF","Swe","1-0","CHAMPIONS CUP","Round 1","1968"
"7","Celtic","Sco","Dinamo Kiev","URS","1-2","CHAMPIONS CUP","Round 1","1968"
"8","Celtic","Sco","Dinamo Kiev","URS","1-1","CHAMPIONS CUP","Round 1","1968"
"9","Ajax","Ned","Real Madrid","Esp","1-1","CHAMPIONS CUP","Round 1","1968"
"10","Ajax","Ned","Real Madrid","Esp","1-2","CHAMPIONS CUP","Round 1","1968"
"11","FC Basel","Sui","Hvidovre IF","Den","1-2","CHAMPIONS CUP","Round 1","1968"
"12","FC Basel","Sui","Hvidovre IF","Den","3-3","CHAMPIONS CUP","Round 1","1968"
"13","Skeid Oslo","Nor","Sparta Praha","TCH","0-1","CHAMPIONS CUP","Round 1","1968"
"14","Skeid Oslo","Nor","Sparta Praha","TCH","1-1","CHAMPIONS CUP","Round 1","1968"
"15","FC Karl-Marx-Stadt","GDR","Anderlecht","Bel","1-3","CHAMPIONS CUP","Round 1","1968"
"16","FC Karl-Marx-Stadt","GDR","Anderlecht","Bel","1-2","CHAMPIONS CUP","Round 1","1968"
"17","Olympiakos Piraeus","Gre","Juventus","Ita","0-0","CHAMPIONS CUP","Round 1","1968"
"18","Olympiakos Piraeus","Gre","Juventus","Ita","0-2","CHAMPIONS CUP","Round 1","1968"
"19","Botev Plovdiv","Bul","Rapid Bucuresti","Rom","2-0","CHAMPIONS CUP","Round 1","1968"
"20","Botev Plovdiv","Bul","Rapid Bucuresti","Rom","0-3","CHAMPIONS CUP","Round 1","1968"
"21","Besiktas","Tur","Rapid Wien","Aut","0-1","CHAMPIONS CUP","Round 1","1968"
